"dose","risk","name","value"
0.225803780668068,2.25801231319434e-05,"C1",0.970912580519568
0.225803780668068,2.25801231319434e-05,"C2",0.267058062232168
1.20364328317321,0.000120357084822165,"C1",3.47976844115315
1.20364328317321,0.000120357084822165,"C2",0.809440483897204
0.00394856565749091,3.94856487839768e-07,"C1",0.0177962549960912
0.00394856565749091,3.94856487839768e-07,"C2",0.00480143129303975
0.199048693436845,1.99046712431317e-05,"C1",0.990290007512165
0.199048693436845,1.99046712431317e-05,"C2",0.197943210781332
0.169157819270174,1.69156388559744e-05,"C1",0.475694678111253
0.169157819270174,1.69156388559744e-05,"C2",0.122901162114904
0.334650759690746,3.346451601971e-05,"C1",1.6333109357126
0.334650759690746,3.346451601971e-05,"C2",0.351086160398921
13.8902665959094,0.00138806240856892,"C1",55.4057205096715
13.8902665959094,0.00138806240856892,"C2",9.96924111596585
0.0356591936540289,3.56591300754161e-06,"C1",0.116830315560427
0.0356591936540289,3.56591300754161e-06,"C2",0.0322373513207891
0.0503822893765309,5.03821624575629e-06,"C1",0.151944298636152
0.0503822893765309,5.03821624575629e-06,"C2",0.0403754765618045
0.0773803777874812,7.73800784026335e-06,"C1",0.488124399307301
0.0773803777874812,7.73800784026335e-06,"C2",0.103055618769849
0.115584360494714,1.15583692510413e-05,"C1",0.480271226272781
0.115584360494714,1.15583692510413e-05,"C2",0.106165010931759
2.61517908554915,0.000261483715727429,"C1",11.562234457628
2.61517908554915,0.000261483715727429,"C2",3.02126485730686
0.065238249715447,6.52380369148275e-06,"C1",0.185928182044694
0.065238249715447,6.52380369148275e-06,"C2",0.0436189039204978
8.83472279593777,0.000883082132862478,"C1",31.2821934238147
8.83472279593777,0.000883082132862478,"C2",7.84529107929702
0.0096846692255093,9.68466453588057e-07,"C1",0.0500104752342216
0.0096846692255093,9.68466453588057e-07,"C2",0.013352534705685
1.31573582126079,0.000131564926701966,"C1",3.94501525148458
1.31573582126079,0.000131564926701966,"C2",1.08420594893865
0.00447417626216905,4.47417526139304e-07,"C1",0.0165250853217618
0.00447417626216905,4.47417526139304e-07,"C2",0.00316154467712971
0.0688017250550414,6.88014883720722e-06,"C1",0.193643479489485
0.0688017250550414,6.88014883720722e-06,"C2",0.0528821839539316
0.10155431060331,1.01553794941145e-05,"C1",0.312229167057444
0.10155431060331,1.01553794941145e-05,"C2",0.0726126822822503
0.00218997313136678,2.18997289191947e-07,"C1",0.00977954621570632
0.00218997313136678,2.18997289191947e-07,"C2",0.00234509013039054
0.0929319425185151,9.29315107023321e-06,"C1",0.33171666708468
0.0929319425185151,9.29315107023321e-06,"C2",0.089816010756045
0.103136914542341,1.03136382683111e-05,"C1",0.330137555540382
0.103136914542341,1.03136382683111e-05,"C2",0.0762987269442453
0.111292794937946,1.11292175636324e-05,"C1",0.320886600690834
0.111292794937946,1.11292175636324e-05,"C2",0.0773012067384932
0.189092795528866,1.89091007736231e-05,"C1",0.551647840799569
0.189092795528866,1.89091007736231e-05,"C2",0.144056241400687
0.160514416455036,1.60513128217854e-05,"C1",0.672508525588948
0.160514416455036,1.60513128217854e-05,"C2",0.165604816129965
0.863498894538817,8.63461614094563e-05,"C1",3.5528443643266
0.863498894538817,8.63461614094563e-05,"C2",0.882665652704152
0.482307053499837,4.82295422682411e-05,"C1",1.82533428448469
0.482307053499837,4.82295422682411e-05,"C2",0.480587687017932
3.95057906174191,0.000394979881074731,"C1",20.1508534227115
3.95057906174191,0.000394979881074731,"C2",5.39811661880237
211.855750905494,0.0209627372183738,"C1",976.074078005747
211.855750905494,0.0209627372183738,"C2",249.881377806247
0.0155565704597232,1.55565583592754e-06,"C1",0.0443235578615933
0.0155565704597232,1.55565583592754e-06,"C2",0.0110395105318307
0.0607764376954998,6.07762530069333e-06,"C1",0.202973975777734
0.0607764376954998,6.07762530069333e-06,"C2",0.0456078445776858
0.190733299820077,1.90731480872453e-05,"C1",0.737807328760274
0.190733299820077,1.90731480872453e-05,"C2",0.197144725754871
0.0284845470081909,2.84845064402184e-06,"C1",0.0823319711738456
0.0284845470081909,2.84845064402184e-06,"C2",0.0212810307307715
2.22844851199103,0.000222820023129566,"C1",6.90124638401005
2.22844851199103,0.000222820023129566,"C2",1.51034729323897
7.20276288415735,0.000720016951718305,"C1",22.895413958157
7.20276288415735,0.000720016951718305,"C2",5.9282415548711
2.4868055219273,0.000248649633747156,"C1",7.29305768533704
2.4868055219273,0.000248649633747156,"C2",1.73513035206263
0.476203549026487,4.76192210715487e-05,"C1",2.07400001023143
0.476203549026487,4.76192210715487e-05,"C2",0.460187410887569
0.92983991012843,9.29796681354844e-05,"C1",2.47202661457281
0.92983991012843,9.29796681354844e-05,"C2",0.651078365365054
0.0351268281354745,3.51267664411292e-06,"C1",0.126448743006306
0.0351268281354745,3.51267664411292e-06,"C2",0.0252271026497328
0.0124236189122957,1.24236111953557e-06,"C1",0.0345956194999285
0.0124236189122957,1.24236111953557e-06,"C2",0.00953225946308957
0.00640525831016591,6.40525625872357e-07,"C1",0.02030794940183
0.00640525831016591,6.40525625872357e-07,"C2",0.00409510486577376
0.179137578123047,1.79135973619182e-05,"C1",0.631212476192536
0.179137578123047,1.79135973619182e-05,"C2",0.142795482619261
0.00362284770061958,3.62284704458204e-07,"C1",0.0120978803314818
0.00362284770061958,3.62284704458204e-07,"C2",0.00277658290206845
0.00305232027851715,3.05231981245768e-07,"C1",0.0158428676139414
0.00305232027851715,3.05231981245768e-07,"C2",0.00325910697195037
0.00642002419531683,6.42002213502302e-07,"C1",0.0290126519621003
